adult,genre_ids,id,original_language,original_title,overview,popularity,release_date,title,video,vote_average,vote_count
FALSE,99,440249,en,After Porn Ends 2,"After Porn Ends 2 picks up where its predecessor left off and not only turns back the clock to meet the oldest living stars in adult film's history, but goes in depth with some of Its most current retirees and juxtaposes their experiences in a life after porn. Delving deeper into society's ongoing stigmas of race, misogyny, and the reality of decreasing opportunities for these former VHS box cover stars. For some, their careers in adult entertainment is accepted proudly and without regret. In fact, it seems to have proven to be the pathway to their current happiness and inner peace. For others, however, a career in porn has proven to be a conduit to certain despair as they struggle to find a way to bury their past and emerge with a new career or calling.",114.562,3/28/17,After Porn Ends 2,FALSE,5.4,166
FALSE,28,427641,en,Rampage,"Primatologist Davis Okoye shares an unshakable bond with George, the extraordinarily intelligent, silverback gorilla who has been in his care since birth.  But a rogue genetic experiment gone awry mutates this gentle ape into a raging creature of enormous size.  To make matters worse, it’s soon discovered there are other similarly altered animals.  As these newly created alpha predators tear across North America, destroying everything in their path, Okoye teams with a discredited genetic engineer to secure an antidote, fighting his way through an ever-changing battlefield, not only to halt a global catastrophe but to save the fearsome creature that was once his friend.",112.683,4/12/18,Rampage,FALSE,6.5,5388
FALSE,"c(18, 28, 12, 53, 9648, 14)",518764,zh,<U+52A8><U+7269><U+4E16><U+754C>,"Drifting aimlessly through life, Kaisi (Li Yi Feng) has racked up debts of several million having borrowed money from his friends. Lured with the promise of writing it all off, Kaisi leaves his ailing mother and childhood sweetheart Qing (Zhou Dongyu) to board the ship Destiny and attend a gambling party controlled by the mysterious Anderson (Michael Douglas).  All players join the game with stars. For each game they lose, their opponent captures a star. Everyone is holding daggers behind their backs plotting dirty means by which to overcome their opponents. The game quickly deteriorates into a slaughter and Kaisi must battle save his own skin…",111.744,6/29/18,Animal World,FALSE,7.3,127
FALSE,"c(28, 53, 80, 18)",168259,en,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,110.767,4/1/15,Furious 7,FALSE,7.3,8539
FALSE,"c(53, 35, 80, 28)",390043,en,The Hitman's Bodyguard,"The world's top bodyguard gets a new client, a hit man who must testify at the International Court of Justice. They must put their differences aside and work together to make it to the trial on time.",110.67,8/16/17,The Hitman's Bodyguard,FALSE,6.9,4534
FALSE,"c(16, 18, 10749, 10751)",504253,ja,<U+541B><U+306E><U+81B5><U+81D3><U+3092><U+305F><U+3079><U+305F><U+3044>,"Spring time in April and the last of the cherry blossoms are still in bloom. The usually aloof bookworm with no interest in others comes across a book in a hospital waiting room. Handwritten on the cover are the words: ""Living with Dying."" He soon discovers that it is a diary kept by his very popular and genuinely cheerful classmate, Sakura Yamauchi, who reveals to him that she is secretly suffering from a pancreatic illness and only has a limited time left. It is at this moment that she gains just one more person to share her secret. Trying to maintain a normal life as much as possible, Sakura is determined to live her life to the fullest until the very last day. As her free spirit and unpredictable actions throw him for a loop, his heart begins to gradually change.",110.34,9/1/18,I Want to Eat Your Pancreas,FALSE,8.3,758
FALSE,"c(28, 12, 878)",363088,en,Ant-Man and the Wasp,"Just when his time under house arrest is about to end, Scott Lang once again puts his freedom at risk to help Hope van Dyne and Dr. Hank Pym dive into the quantum realm and try to accomplish, against time and any chance of success, a very dangerous rescue mission.",109.803,7/4/18,Ant-Man and the Wasp,FALSE,7,10026
FALSE,"c(28, 12, 14, 878)",284052,en,Doctor Strange,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",107.972,10/25/16,Doctor Strange,FALSE,7.4,17234
FALSE,"c(18, 10749, 53)",216015,en,Fifty Shades of Grey,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",107.156,2/11/15,Fifty Shades of Grey,FALSE,5.9,9651
FALSE,"c(28, 80, 18, 53)",400535,en,Sicario: Day of the Soldado,Agent Matt Graver teams up with operative Alejandro Gillick to prevent Mexican drug cartels from smuggling terrorists across the United States border.,105.488,6/27/18,Sicario: Day of the Soldado,FALSE,6.8,2426
